Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Value
"QCL","Crops and livestock products","586","Pakistan","5412","Yield","01371","Almonds, in shell","2000","2000","3013"
"QCL","Crops and livestock products","586","Pakistan","5412","Yield","01371","Almonds, in shell","2001","2001","3025.9"
"QCL","Crops and livestock products","586","Pakistan","5412","Yield","01371","Almonds, in shell","2002","2002","2763"
"QCL","Crops and livestock products","586","Pakistan","5412","Yield","01371","Almonds, in shell","2003","2003","2566.1"
"QCL","Crops and livestock products","586","Pakistan","5412","Yield","01371","Almonds, in shell","2004","2004","2364"
"QCL","Crops and livestock products","586","Pakistan","5412","Yield","01371","Almonds, in shell","2005","2005","2250.6"
"QCL","Crops and livestock products","586","Pakistan","5412","Yield","01371","Almonds, in shell","2006","2006","2252.8"
"QCL","Crops and livestock products","586","Pakistan","5412","Yield","01371","Almonds, in shell","2007","2007","2161.6"
"QCL","Crops and livestock products","586","Pakistan","5412","Yield","01371","Almonds, in shell","2008","2008","2406.3"
"QCL","Crops and livestock products","586","Pakistan","5412","Yield","01371","Almonds, in shell","2009","2009","2400"
"QCL","Crops and livestock products","586","Pakistan","5412","Yield","01371","Almonds, in shell","2010","2010","2005.2"
"QCL","Crops and livestock products","586","Pakistan","5412","Yield","01371","Almonds, in shell","2011","2011","1989.3"
"QCL","Crops and livestock products","586","Pakistan","5412","Yield","01371","Almonds, in shell","2012","2012","1983.5"
"QCL","Crops and livestock products","586","Pakistan","5412","Yield","01371","Almonds, in shell","2013","2013","2111.8"
"QCL","Crops and livestock products","586","Pakistan","5412","Yield","01371","Almonds, in shell","2014","2014","2032.4"
"QCL","Crops and livestock products","586","Pakistan","5412","Yield","01371","Almonds, in shell","2015","2015","2059.6"
"QCL","Crops and livestock products","586","Pakistan","5412","Yield","01371","Almonds, in shell","2016","2016","2049.8"
"QCL","Crops and livestock products","586","Pakistan","5412","Yield","01371","Almonds, in shell","2017","2017","2117.9"
"QCL","Crops and livestock products","586","Pakistan","5412","Yield","01371","Almonds, in shell","2018","2018","2082.3"
"QCL","Crops and livestock products","586","Pakistan","5412","Yield","01371","Almonds, in shell","2019","2019","2222.8"
"QCL","Crops and livestock products","586","Pakistan","5412","Yield","01371","Almonds, in shell","2020","2020","2399.5"
"QCL","Crops and livestock products","586","Pakistan","5412","Yield","01371","Almonds, in shell","2021","2021","2221.8"
"QCL","Crops and livestock products","586","Pakistan","5412","Yield","01371","Almonds, in shell","2022","2022","2320.7"
"QCL","Crops and livestock products","586","Pakistan","5412","Yield","01371","Almonds, in shell","2023","2023","2332.5"
"QCL","Crops and livestock products","586","Pakistan","5412","Yield","01341","Apples","2000","2000","7544.4"
"QCL","Crops and livestock products","586","Pakistan","5412","Yield","01341","Apples","2001","2001","7553.4"
"QCL","Crops and livestock products","586","Pakistan","5412","Yield","01341","Apples","2002","2002","6633.9"
