Area,Year,Domain Code,Domain,Area Code (M49),Element Code,Element,Item Code (CPC),Item,Year Code,Value,Yield_Loss_Percent,Avg_Deaths,Avg_Damage_USD,Total_Events
Pakistan,2000,QCL,Crops and livestock products,586,5412,Yield,01371,"Almonds, in shell",2000,3013,NA,NA,NA,NA
Pakistan,2000,QCL,Crops and livestock products,586,5412,Yield,01341,Apples,2000,7544.4,NA,NA,NA,NA
Pakistan,2000,QCL,Crops and livestock products,586,5412,Yield,01343,Apricots,2000,9752,NA,NA,NA,NA
Pakistan,2000,QCL,Crops and livestock products,586,5412,Yield,01312,Bananas,2000,4801.2,NA,NA,NA,NA
Pakistan,2000,QCL,Crops and livestock products,586,5412,Yield,0115,Barley,2000,950.6,NA,NA,NA,NA
Pakistan,2000,QCL,Crops and livestock products,586,5412,Yield,01701,"Beans, dry",2000,491.5,NA,NA,NA,NA
Pakistan,2000,QCL,Crops and livestock products,586,5412,Yield,01212,Cabbages,2000,15380.4,NA,NA,NA,NA
Pakistan,2000,QCL,Crops and livestock products,586,5412,Yield,01229,Cantaloupes and other melons,2000,15786.1,NA,NA,NA,NA
Pakistan,2000,QCL,Crops and livestock products,586,5412,Yield,01251,Carrots and turnips,2000,18669,NA,NA,NA,NA
Pakistan,2000,QCL,Crops and livestock products,586,5412,Yield,01447,Castor oil seeds,2000,533.9,NA,NA,NA,NA
Pakistan,2000,QCL,Crops and livestock products,586,5412,Yield,01213,Cauliflowers and broccoli,2000,18653.9,NA,NA,NA,NA
Pakistan,2000,QCL,Crops and livestock products,586,5412,Yield,01344.02,Cherries,2000,1614.7,NA,NA,NA,NA
Pakistan,2000,QCL,Crops and livestock products,586,5412,Yield,01703,"Chick peas, dry",2000,580.9,NA,NA,NA,NA
Pakistan,2000,QCL,Crops and livestock products,586,5412,Yield,01652,"Chillies and peppers, dry (Capsicum spp., Pimenta spp.), raw",2000,2066.1,NA,NA,NA,NA
Pakistan,2000,QCL,Crops and livestock products,586,5412,Yield,01460,"Coconuts, in shell",2000,5417.2,NA,NA,NA,NA
Pakistan,2000,QCL,Crops and livestock products,586,5412,Yield,01232,Cucumbers and gherkins,2000,6034.5,NA,NA,NA,NA
Pakistan,2000,QCL,Crops and livestock products,586,5412,Yield,01314,Dates,2000,7793.4,NA,NA,NA,NA
Pakistan,2000,QCL,Crops and livestock products,586,5412,Yield,01599.10,"Edible roots and tubers with high starch or inulin content, n.e.c., fresh",2000,16810.8,NA,NA,NA,NA
Pakistan,2000,QCL,Crops and livestock products,586,5412,Yield,01233,Eggplants (aubergines),2000,10563.5,NA,NA,NA,NA
Pakistan,2000,QCL,Crops and livestock products,586,5412,Yield,01315,Figs,2000,4593.3,NA,NA,NA,NA
Pakistan,2000,QCL,Crops and livestock products,586,5412,Yield,01657,"Ginger, raw",2000,350.6,NA,NA,NA,NA
Pakistan,2000,QCL,Crops and livestock products,586,5412,Yield,01330,Grapes,2000,4098,NA,NA,NA,NA
Pakistan,2000,QCL,Crops and livestock products,586,5412,Yield,01252,Green garlic,2000,8844.1,NA,NA,NA,NA
Pakistan,2000,QCL,Crops and livestock products,586,5412,Yield,0142,"Groundnuts, excluding shelled",2000,1121.5,NA,NA,NA,NA
Pakistan,2000,QCL,Crops and livestock products,586,5412,Yield,01449.02,Hempseed,2000,694,NA,NA,NA,NA
Pakistan,2000,QCL,Crops and livestock products,586,5412,Yield,01922.01,"Jute, raw or retted",2000,1047.6,NA,NA,NA,NA
Pakistan,2000,QCL,Crops and livestock products,586,5412,Yield,01922.02,"Kenaf, and other textile bast fibres, raw or retted",2000,694,NA,NA,NA,NA
Pakistan,2000,QCL,Crops and livestock products,586,5412,Yield,01322,Lemons and limes,2000,9620.3,NA,NA,NA,NA
Pakistan,2000,QCL,Crops and livestock products,586,5412,Yield,01704,"Lentils, dry",2000,646,NA,NA,NA,NA
Pakistan,2000,QCL,Crops and livestock products,586,5412,Yield,01214,Lettuce and chicory,2000,1377,NA,NA,NA,NA
Pakistan,2000,QCL,Crops and livestock products,586,5412,Yield,01441,Linseed,2000,617.1,NA,NA,NA,NA
Pakistan,2000,QCL,Crops and livestock products,586,5412,Yield,0112,Maize (corn),2000,1708.6,NA,NA,NA,NA
Pakistan,2000,QCL,Crops and livestock products,586,5412,Yield,01316,"Mangoes, guavas and mangosteens",2000,9962.8,NA,NA,NA,NA
Pakistan,2000,QCL,Crops and livestock products,586,5412,Yield,0118,Millet,2000,510.8,NA,NA,NA,NA
Pakistan,2000,QCL,Crops and livestock products,586,5412,Yield,01239.01,Okra,2000,7653.9,NA,NA,NA,NA
Pakistan,2000,QCL,Crops and livestock products,586,5412,Yield,01253.02,"Onions and shallots, dry (excluding dehydrated)",2000,15014.5,NA,NA,NA,NA
Pakistan,2000,QCL,Crops and livestock products,586,5412,Yield,01241.90,"Other beans, green",2000,8644.1,NA,NA,NA,NA
Pakistan,2000,QCL,Crops and livestock products,586,5412,Yield,01355.90,Other berries and fruits of the genus vaccinium n.e.c.,2000,5091.4,NA,NA,NA,NA
Pakistan,2000,QCL,Crops and livestock products,586,5412,Yield,01359.90,"Other fruits, n.e.c.",2000,6293.1,NA,NA,NA,NA
Pakistan,2000,QCL,Crops and livestock products,586,5412,Yield,01379.90,"Other nuts (excluding wild edible nuts and groundnuts), in shell, n.e.c.",2000,784.5,NA,NA,NA,NA
Pakistan,2000,QCL,Crops and livestock products,586,5412,Yield,01449.90,"Other oil seeds, n.e.c.",2000,777.6,NA,NA,NA,NA
Pakistan,2000,QCL,Crops and livestock products,586,5412,Yield,01709.90,Other pulses n.e.c.,2000,921.9,NA,NA,NA,NA
Pakistan,2000,QCL,Crops and livestock products,586,5412,Yield,01699,"Other stimulant, spice and aromatic crops, n.e.c.",2000,4280.4,NA,NA,NA,NA
Pakistan,2000,QCL,Crops and livestock products,586,5412,Yield,01290.90,"Other vegetables, fresh n.e.c.",2000,14990.7,NA,NA,NA,NA
Pakistan,2000,QCL,Crops and livestock products,586,5412,Yield,01317,Papayas,2000,4347.8,NA,NA,NA,NA
Pakistan,2000,QCL,Crops and livestock products,586,5412,Yield,01345,Peaches and nectarines,2000,6034.1,NA,NA,NA,NA
Pakistan,2000,QCL,Crops and livestock products,586,5412,Yield,01342.01,Pears,2000,12802.4,NA,NA,NA,NA
Pakistan,2000,QCL,Crops and livestock products,586,5412,Yield,01705,"Peas, dry",2000,575.6,NA,NA,NA,NA
Pakistan,2000,QCL,Crops and livestock products,586,5412,Yield,01242,"Peas, green",2000,6812.6,NA,NA,NA,NA
Pakistan,2000,QCL,Crops and livestock products,586,5412,Yield,01707,"Pigeon peas, dry",2000,715.5,NA,NA,NA,NA
Pakistan,2000,QCL,Crops and livestock products,586,5412,Yield,01375,"Pistachios, in shell",2000,1548.1,NA,NA,NA,NA
Pakistan,2000,QCL,Crops and livestock products,586,5412,Yield,01346,Plums and sloes,2000,8381.8,NA,NA,NA,NA
Pakistan,2000,QCL,Crops and livestock products,586,5412,Yield,01510,Potatoes,2000,16907.8,NA,NA,NA,NA
Pakistan,2000,QCL,Crops and livestock products,586,5412,Yield,01235,"Pumpkins, squash and gourds",2000,9968.5,NA,NA,NA,NA
Pakistan,2000,QCL,Crops and livestock products,586,5412,Yield,01443,Rape or colza seed,2000,901,NA,NA,NA,NA
Pakistan,2000,QCL,Crops and livestock products,586,5412,Yield,0113,Rice,2000,3031.2,NA,NA,NA,NA
Pakistan,2000,QCL,Crops and livestock products,586,5412,Yield,01446,Safflower seed,2000,721.3,NA,NA,NA,NA
Pakistan,2000,QCL,Crops and livestock products,586,5412,Yield,01921.01,"Seed cotton, unginned",2000,1870.6,NA,NA,NA,NA
Pakistan,2000,QCL,Crops and livestock products,586,5412,Yield,01444,Sesame seed,2000,502,NA,NA,NA,NA
Pakistan,2000,QCL,Crops and livestock products,586,5412,Yield,0114,Sorghum,2000,617.9,NA,NA,NA,NA
Pakistan,2000,QCL,Crops and livestock products,586,5412,Yield,0141,Soya beans,2000,1216,NA,NA,NA,NA
Pakistan,2000,QCL,Crops and livestock products,586,5412,Yield,01215,Spinach,2000,10572.9,NA,NA,NA,NA
Pakistan,2000,QCL,Crops and livestock products,586,5412,Yield,01801,Sugar beet,2000,26283.2,NA,NA,NA,NA
Pakistan,2000,QCL,Crops and livestock products,586,5412,Yield,01802,Sugar cane,2000,45882.9,NA,NA,NA,NA
Pakistan,2000,QCL,Crops and livestock products,586,5412,Yield,01445,Sunflower seed,2000,1311.4,NA,NA,NA,NA
Pakistan,2000,QCL,Crops and livestock products,586,5412,Yield,01530,Sweet potatoes,2000,10977.1,NA,NA,NA,NA
Pakistan,2000,QCL,Crops and livestock products,586,5412,Yield,01324,"Tangerines, mandarins, clementines",2000,9549,NA,NA,NA,NA
Pakistan,2000,QCL,Crops and livestock products,586,5412,Yield,01234,Tomatoes,2000,9628.9,NA,NA,NA,NA
Pakistan,2000,QCL,Crops and livestock products,586,5412,Yield,01970,Unmanufactured tobacco,2000,1909.6,NA,NA,NA,NA
Pakistan,2000,QCL,Crops and livestock products,586,5412,Yield,01376,"Walnuts, in shell",2000,10382.6,NA,NA,NA,NA
Pakistan,2000,QCL,Crops and livestock products,586,5412,Yield,01221,Watermelons,2000,15947.4,NA,NA,NA,NA
Pakistan,2000,QCL,Crops and livestock products,586,5412,Yield,0111,Wheat,2000,2490.7,NA,NA,NA,NA
Pakistan,2001,QCL,Crops and livestock products,586,5412,Yield,01371,"Almonds, in shell",2001,3025.9,-0.4281447062728208,210,246000,1
Pakistan,2001,QCL,Crops and livestock products,586,5412,Yield,01341,Apples,2001,7553.4,-0.11929378081756005,210,246000,1
Pakistan,2001,QCL,Crops and livestock products,586,5412,Yield,01343,Apricots,2001,9579.3,1.7709187858900812,210,246000,1
Pakistan,2001,QCL,Crops and livestock products,586,5412,Yield,01312,Bananas,2001,4803.8,-0.0541531283845781,210,246000,1
Pakistan,2001,QCL,Crops and livestock products,586,5412,Yield,0115,Barley,2001,875.2,7.931832526825161,210,246000,1
Pakistan,2001,QCL,Crops and livestock products,586,5412,Yield,01701,"Beans, dry",2001,487.1,0.8952187182095579,210,246000,1
Pakistan,2001,QCL,Crops and livestock products,586,5412,Yield,01212,Cabbages,2001,14910,3.05843801201529,210,246000,1
Pakistan,2001,QCL,Crops and livestock products,586,5412,Yield,01229,Cantaloupes and other melons,2001,15896.5,-0.6993494276610412,210,246000,1
Pakistan,2001,QCL,Crops and livestock products,586,5412,Yield,01251,Carrots and turnips,2001,18355.6,1.6787187315871306,210,246000,1
Pakistan,2001,QCL,Crops and livestock products,586,5412,Yield,01447,Castor oil seeds,2001,624,-16.875819441843046,210,246000,1
Pakistan,2001,QCL,Crops and livestock products,586,5412,Yield,01213,Cauliflowers and broccoli,2001,18313.9,1.822675151040801,210,246000,1
Pakistan,2001,QCL,Crops and livestock products,586,5412,Yield,01344.02,Cherries,2001,1734.1,-7.394562457422422,210,246000,1
Pakistan,2001,QCL,Crops and livestock products,586,5412,Yield,01703,"Chick peas, dry",2001,438.7,24.479256326390082,210,246000,1
Pakistan,2001,QCL,Crops and livestock products,586,5412,Yield,01652,"Chillies and peppers, dry (Capsicum spp., Pimenta spp.), raw",2001,1913.5,7.385896132810606,210,246000,1
Pakistan,2001,QCL,Crops and livestock products,586,5412,Yield,01460,"Coconuts, in shell",2001,5410.4,0.12552610204534043,210,246000,1
Pakistan,2001,QCL,Crops and livestock products,586,5412,Yield,01232,Cucumbers and gherkins,2001,5556.4,7.922777363493254,210,246000,1
Pakistan,2001,QCL,Crops and livestock products,586,5412,Yield,01314,Dates,2001,8032.2,-3.0641311879282496,210,246000,1
Pakistan,2001,QCL,Crops and livestock products,586,5412,Yield,01599.10,"Edible roots and tubers with high starch or inulin content, n.e.c., fresh",2001,16606.2,1.217074737668633,210,246000,1
Pakistan,2001,QCL,Crops and livestock products,586,5412,Yield,01233,Eggplants (aubergines),2001,10697.1,-1.2647323330335625,210,246000,1
Pakistan,2001,QCL,Crops and livestock products,586,5412,Yield,01315,Figs,2001,4344.6,5.4144079420024775,210,246000,1
Pakistan,2001,QCL,Crops and livestock products,586,5412,Yield,01657,"Ginger, raw",2001,379.7,-8.300057045065591,210,246000,1
Pakistan,2001,QCL,Crops and livestock products,586,5412,Yield,01330,Grapes,2001,4130.7,-0.7979502196193221,210,246000,1
Pakistan,2001,QCL,Crops and livestock products,586,5412,Yield,01252,Green garlic,2001,8059.8,8.868058931943331,210,246000,1
Pakistan,2001,QCL,Crops and livestock products,586,5412,Yield,0142,"Groundnuts, excluding shelled",2001,1017.1,9.308961212661613,210,246000,1
Pakistan,2001,QCL,Crops and livestock products,586,5412,Yield,01449.02,Hempseed,2001,684.7,1.3400576368876016,210,246000,1
Pakistan,2001,QCL,Crops and livestock products,586,5412,Yield,01922.01,"Jute, raw or retted",2001,1050,-0.22909507445590788,210,246000,1
Pakistan,2001,QCL,Crops and livestock products,586,5412,Yield,01922.02,"Kenaf, and other textile bast fibres, raw or retted",2001,684.7,1.3400576368876016,210,246000,1
Pakistan,2001,QCL,Crops and livestock products,586,5412,Yield,01322,Lemons and limes,2001,9359,2.7161315135702555,210,246000,1
Pakistan,2001,QCL,Crops and livestock products,586,5412,Yield,01704,"Lentils, dry",2001,584.8,9.473684210526322,210,246000,1
Pakistan,2001,QCL,Crops and livestock products,586,5412,Yield,01214,Lettuce and chicory,2001,1190,13.580246913580247,210,246000,1
Pakistan,2001,QCL,Crops and livestock products,586,5412,Yield,01441,Linseed,2001,573.1,7.130124777183601,210,246000,1
Pakistan,2001,QCL,Crops and livestock products,586,5412,Yield,0112,Maize (corn),2001,1763.1,-3.189745990869718,210,246000,1
Pakistan,2001,QCL,Crops and livestock products,586,5412,Yield,01316,"Mangoes, guavas and mangosteens",2001,10204.5,-2.4260248123017703,210,246000,1
Pakistan,2001,QCL,Crops and livestock products,586,5412,Yield,0118,Millet,2001,518.8,-1.5661707126076632,210,246000,1
Pakistan,2001,QCL,Crops and livestock products,586,5412,Yield,01239.01,Okra,2001,7803.2,-1.9506395432393968,210,246000,1
Pakistan,2001,QCL,Crops and livestock products,586,5412,Yield,01253.02,"Onions and shallots, dry (excluding dehydrated)",2001,14797.5,1.4452695727463452,210,246000,1
Pakistan,2001,QCL,Crops and livestock products,586,5412,Yield,01241.90,"Other beans, green",2001,8685.1,-0.474311958445645,210,246000,1
Pakistan,2001,QCL,Crops and livestock products,586,5412,Yield,01355.90,Other berries and fruits of the genus vaccinium n.e.c.,2001,4967.4,2.435479435911537,210,246000,1
Pakistan,2001,QCL,Crops and livestock products,586,5412,Yield,01359.90,"Other fruits, n.e.c.",2001,6101.8,3.039837282102623,210,246000,1
Pakistan,2001,QCL,Crops and livestock products,586,5412,Yield,01379.90,"Other nuts (excluding wild edible nuts and groundnuts), in shell, n.e.c.",2001,785.8,-0.1657106437221102,210,246000,1
Pakistan,2001,QCL,Crops and livestock products,586,5412,Yield,01449.90,"Other oil seeds, n.e.c.",2001,778.2,-0.07716049382716342,210,246000,1
Pakistan,2001,QCL,Crops and livestock products,586,5412,Yield,01709.90,Other pulses n.e.c.,2001,853.9,7.376071157392341,210,246000,1
Pakistan,2001,QCL,Crops and livestock products,586,5412,Yield,01699,"Other stimulant, spice and aromatic crops, n.e.c.",2001,4361.9,-1.904027660966265,210,246000,1
Pakistan,2001,QCL,Crops and livestock products,586,5412,Yield,01290.90,"Other vegetables, fresh n.e.c.",2001,14668.8,2.147331345434179,210,246000,1
Pakistan,2001,QCL,Crops and livestock products,586,5412,Yield,01317,Papayas,2001,4498.7,-3.4707208243249377,210,246000,1
Pakistan,2001,QCL,Crops and livestock products,586,5412,Yield,01345,Peaches and nectarines,2001,6527.1,-8.170232511890754,210,246000,1
Pakistan,2001,QCL,Crops and livestock products,586,5412,Yield,01342.01,Pears,2001,12526.3,2.1566268824595416,210,246000,1
Pakistan,2001,QCL,Crops and livestock products,586,5412,Yield,01705,"Peas, dry",2001,595.9,-3.5267546907574623,210,246000,1
Pakistan,2001,QCL,Crops and livestock products,586,5412,Yield,01242,"Peas, green",2001,6856.3,-0.6414584740040487,210,246000,1
Pakistan,2001,QCL,Crops and livestock products,586,5412,Yield,01707,"Pigeon peas, dry",2001,731.7,-2.264150943396233,210,246000,1
Pakistan,2001,QCL,Crops and livestock products,586,5412,Yield,01375,"Pistachios, in shell",2001,1462.7,5.51643950649182,210,246000,1
Pakistan,2001,QCL,Crops and livestock products,586,5412,Yield,01346,Plums and sloes,2001,8689.1,-3.6662769333556176,210,246000,1
Pakistan,2001,QCL,Crops and livestock products,586,5412,Yield,01510,Potatoes,2001,16418,2.8968878269201155,210,246000,1
Pakistan,2001,QCL,Crops and livestock products,586,5412,Yield,01235,"Pumpkins, squash and gourds",2001,10139.3,-1.7133972011837215,210,246000,1
Pakistan,2001,QCL,Crops and livestock products,586,5412,Yield,01443,Rape or colza seed,2001,847.5,5.937846836847947,210,246000,1
Pakistan,2001,QCL,Crops and livestock products,586,5412,Yield,0113,Rice,2001,2754.2,9.138295064660861,210,246000,1
Pakistan,2001,QCL,Crops and livestock products,586,5412,Yield,01446,Safflower seed,2001,732.1,-1.4972965478996352,210,246000,1
Pakistan,2001,QCL,Crops and livestock products,586,5412,Yield,01921.01,"Seed cotton, unginned",2001,1738.1,7.083288784347269,210,246000,1
Pakistan,2001,QCL,Crops and livestock products,586,5412,Yield,01444,Sesame seed,2001,513.3,-2.250996015936246,210,246000,1
Pakistan,2001,QCL,Crops and livestock products,586,5412,Yield,0114,Sorghum,2001,619.7,-0.29130927334521256,210,246000,1
Pakistan,2001,QCL,Crops and livestock products,586,5412,Yield,0141,Soya beans,2001,1113.4,8.437499999999993,210,246000,1
Pakistan,2001,QCL,Crops and livestock products,586,5412,Yield,01215,Spinach,2001,10592.8,-0.18821704546528992,210,246000,1
Pakistan,2001,QCL,Crops and livestock products,586,5412,Yield,01801,Sugar beet,2001,17381.6,33.86802215864127,210,246000,1
Pakistan,2001,QCL,Crops and livestock products,586,5412,Yield,01802,Sugar cane,2001,45385.4,1.0842819438178493,210,246000,1
Pakistan,2001,QCL,Crops and livestock products,586,5412,Yield,01445,Sunflower seed,2001,1502.2,-14.54933658685374,210,246000,1
Pakistan,2001,QCL,Crops and livestock products,586,5412,Yield,01530,Sweet potatoes,2001,10416.8,5.1042625101347445,210,246000,1
Pakistan,2001,QCL,Crops and livestock products,586,5412,Yield,01324,"Tangerines, mandarins, clementines",2001,9420.9,1.34150172792963,210,246000,1
Pakistan,2001,QCL,Crops and livestock products,586,5412,Yield,01234,Tomatoes,2001,9631.8,-0.030117666607812277,210,246000,1
Pakistan,2001,QCL,Crops and livestock products,586,5412,Yield,01970,Unmanufactured tobacco,2001,1866.2,2.272727272727266,210,246000,1
Pakistan,2001,QCL,Crops and livestock products,586,5412,Yield,01376,"Walnuts, in shell",2001,10591.7,-2.0139464103403806,210,246000,1
Pakistan,2001,QCL,Crops and livestock products,586,5412,Yield,01221,Watermelons,2001,16099.8,-0.9556416719966869,210,246000,1
Pakistan,2001,QCL,Crops and livestock products,586,5412,Yield,0111,Wheat,2001,2325.4,6.636688481149868,210,246000,1
Pakistan,2002,QCL,Crops and livestock products,586,5412,Yield,01371,"Almonds, in shell",2002,2763,8.688324134968111,14,NA,1
Pakistan,2002,QCL,Crops and livestock products,586,5412,Yield,01341,Apples,2002,6633.9,12.173325919453491,14,NA,1
Pakistan,2002,QCL,Crops and livestock products,586,5412,Yield,01343,Apricots,2002,9427.2,1.587798690927297,14,NA,1
Pakistan,2002,QCL,Crops and livestock products,586,5412,Yield,01312,Bananas,2002,4875.9,-1.50089512469294,14,NA,1
Pakistan,2002,QCL,Crops and livestock products,586,5412,Yield,0115,Barley,2002,902.4,-3.1078610603290597,14,NA,1
Pakistan,2002,QCL,Crops and livestock products,586,5412,Yield,01701,"Beans, dry",2002,535,-9.833709710531712,14,NA,1
Pakistan,2002,QCL,Crops and livestock products,586,5412,Yield,01212,Cabbages,2002,15578.5,-4.483568075117371,14,NA,1
Pakistan,2002,QCL,Crops and livestock products,586,5412,Yield,01229,Cantaloupes and other melons,2002,16396.3,-3.14408832132859,14,NA,1
Pakistan,2002,QCL,Crops and livestock products,586,5412,Yield,01251,Carrots and turnips,2002,18144.8,1.148423369434937,14,NA,1
Pakistan,2002,QCL,Crops and livestock products,586,5412,Yield,01447,Castor oil seeds,2002,578.9,7.227564102564106,14,NA,1
